PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REGION	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	SNPS	SNP_ID_CURRENT	CONTEXT	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	4q31.21	4	145873469	rs4547811-C	rs4547811	4547811.0	intron_variant	0.18	3e-27	26.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	5p13.3	5	31020414	rs6888304-A	rs6888304	6888304.0	intergenic_variant	0.74	1e-09	9.0
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	5q11.2	5	52897294	rs4074793-G	rs4074793	4074793.0	intron_variant	0.07	3e-10	9.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	6p12.1	6	54059899	rs9296736-T	rs9296736	9296736.0	intron_variant	0.31	3e-09	8.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	7q11.23	7	73612048	rs17145750-C	rs17145750	17145750.0	intron_variant	0.86	3e-09	8.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	10q22.3	10	77920676	rs754466-T	rs754466	754466.0	intron_variant	0.24	6e-10	9.22
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	12q24.31	12	120987058	rs7310409-G	rs7310409	7310409.0	intron_variant	0.59	7e-45	44.15
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	14q32.32	14	103106478	rs944002-G	rs944002	944002.0	intron_variant	0.21	6e-29	28.22
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	15q22.2	15	60591082	rs339969-A	rs339969	339969.0	intron_variant	0.62	7e-20	19.15
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	15q24.1	15	73685996	rs8038465-T	rs8038465	8038465.0	intron_variant	0.39	1e-09	9.0
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	16q23.2	16	80463704	rs4581712-A	rs4581712	4581712.0	intron_variant	0.27	3e-09	8.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	17q24.3	17	72102020	rs9913711-C	rs9913711	9913711.0	intron_variant	0.65	1e-09	9.0
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	18q21.31	18	57655270	rs12968116-C	rs12968116	12968116.0	missense_variant	0.87	9e-10	9.05
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	18q21.31	18	58416822	rs4503880-T	rs4503880	4503880.0	non_coding_transcript_exon_variant	0.21	3e-12	11.52
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	19q13.33	19	48702915	rs516246-T	rs516246	516246.0	intron_variant	0.47	8e-10	9.1
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	22q11.21	22	17957192	rs1076540-C	rs1076540	1076540.0	intron_variant	0.78	1e-16	16.0
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	22q11.23	22	23953099	rs2739330-T	rs2739330	2739330.0	intron_variant	0.42	2e-09	8.7
22001757	Chambers JC	2011-10-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	Liver enzyme levels (gamma-glutamyl transferase)	Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian ancestry individuals	22q11.23	22	24603137	rs2073398-G	rs2073398	2073398.0	intron_variant	0.34	1e-109	109.0
22081228	Khor CC	2011-11-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22081228	Genome-wide association study identifies FCGR2A as a susceptibility locus for Kawasaki disease.	Kawasaki disease	405 European ancestry cases, 6,252 European ancestry controls	1q23.3	1	161509955	rs1801274-A	rs1801274	1801274.0	missense_variant	0.47	7e-11	10.15
22081228	Khor CC	2011-11-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22081228	Genome-wide association study identifies FCGR2A as a susceptibility locus for Kawasaki disease.	Kawasaki disease	405 European ancestry cases, 6,252 European ancestry controls	19q13.2	19	40718299	rs28493229-?	rs28493229	28493229.0	intron_variant	0.13	2e-12	11.7
22120009	Broderick P	2011-11-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22120009	Common variation at 3p22.1 and 7p15.3 influences multiple myeloma risk.	Multiple myeloma	1,675 European ancestry cases, 5,903 European ancestry controls	7p15.3	7	21898622	rs4487645-C	rs4487645	4487645.0	intron_variant	0.65	3e-14	13.52
22120009	Broderick P	2011-11-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22120009	Common variation at 3p22.1 and 7p15.3 influences multiple myeloma risk.	Multiple myeloma	1,675 European ancestry cases, 5,903 European ancestry controls	3p22.1	3	41883906	rs1052501-G	rs1052501	1052501.0	missense_variant	0.16	2e-08	7.7
22120009	Broderick P	2011-11-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22120009	Common variation at 3p22.1 and 7p15.3 influences multiple myeloma risk.	Multiple myeloma	1,675 European ancestry cases, 5,903 European ancestry controls	2p23.3	2	25436375	rs6746082-A	rs6746082	6746082.0	intron_variant	0.79	4e-07	6.4
20622878	Remmers EF	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622878	Genome-wide association study identifies variants in the MHC class I, IL10, and IL23R-IL12RB2 regions associated with Behçet's disease.	Behcet's disease	1,215 Turkish ancestry cases, 1,278 Turkish ancestry controls	1q32.1	1	206771300	rs1518111-?	rs1518111	1518111.0	intron_variant	NR	4e-18	17.4
20622878	Remmers EF	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622878	Genome-wide association study identifies variants in the MHC class I, IL10, and IL23R-IL12RB2 regions associated with Behçet's disease.	Behcet's disease	1,215 Turkish ancestry cases, 1,278 Turkish ancestry controls	1p31.3	1	67294457	rs924080-?	rs924080	924080.0	intergenic_variant	NR	7e-09	8.15
20622881	Gretarsdottir S	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622881	Genome-wide association study identifies a sequence variant within the DAB2IP gene conferring susceptibility to abdominal aortic aneurysm.	Abdominal aortic aneurysm	1,292 European ancestry cases, 30,503 European ancestry controls	9q33.2	9	121660124	rs7025486-A	rs7025486	7025486.0	intron_variant	0.23	5e-10	9.3
20622881	Gretarsdottir S	2010-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20622881	Genome-wide association study identifies a sequence variant within the DAB2IP gene conferring susceptibility to abdominal aortic aneurysm.	Abdominal aortic aneurysm	1,292 European ancestry cases, 30,503 European ancestry controls	9p21.3	9	22115960	rs2383207-G	rs2383207	2383207.0	intron_variant	0.49	2e-08	7.7
20639881	Conde L	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639881	Genome-wide association study of follicular lymphoma identifies a risk locus at 6p21.32.	Follicular lymphoma	681 European ancestry cases, 750 European ancestry controls	6p21.32	6	32697643	rs10484561-G	rs10484561	10484561.0	intergenic_variant	0.11	1.0000000000000001e-29	29.0
20639881	Conde L	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639881	Genome-wide association study of follicular lymphoma identifies a risk locus at 6p21.32.	Follicular lymphoma	681 European ancestry cases, 750 European ancestry controls	11q24.1	11	123490689	rs735665-T	rs735665	735665.0	intron_variant	0.21	4e-09	8.4
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	7q32.1	7	128954129	rs10488631-C	rs10488631	10488631.0	intergenic_variant	0.11	3e-10	9.52
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	17q21.1	17	39820216	rs9303277-T	rs9303277	9303277.0	intron_variant	0.51	2e-09	8.7
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	19q13.33	19	50423485	rs3745516-A	rs3745516	3745516.0	intron_variant	0.23	8e-11	10.1
20639878	Singer JB	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639878	A genome-wide study identifies HLA alleles associated with lumiracoxib-related liver injury.	Lumiracoxib-related liver injury	31 European ancestry cases, 3 Hispanic cases, 1 case, 176 European, Hispanic and other ancestry controls	6p21.32	6	32338202	rs3129900-?	rs3129900	3129900.0	intron_variant	0.105	6.9999999999999995e-25	24.15
20711174	Hor H	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711174	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.	Narcolepsy	562 European ancestry cases, 702 European ancestry controls	14q11.2	14	22533736	rs1154155-G	rs1154155	1154155.0	intergenic_variant	0.15	5e-07	6.3
20711174	Hor H	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711174	Genome-wide association study identifies new HLA class II haplotypes strongly protective against narcolepsy.	Narcolepsy	562 European ancestry cases, 702 European ancestry controls	6p21.32	6	32732306	rs2858884-A	rs2858884	2858884.0	regulatory_region_variant	0.81	3e-08	7.52
20694013	Davila S	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694013	Genome-wide association study identifies variants in the CFH region associated with host susceptibility to meningococcal disease.	Meningococcal disease	475 European ancestry cases, 4,703 European ancestry controls	1q31.3	1	196791287	rs426736-?	rs426736	426736.0	intron_variant	0.84	5e-13	12.3
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	6p21.32	6	32619077	rs9271366-?	rs9271366	9271366.0	intergenic_variant	0.85	3e-33	32.52
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	2q24.2	2	162267541	rs1990760-?	rs1990760	1990760.0	missense_variant	0.61	7e-10	9.15
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	16p13.13	16	10987392	rs6498142-?	rs6498142	6498142.0	intron_variant	0.83	2e-07	6.7
20711177	Hamza TH	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711177	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.	Parkinson's disease	2,000 European ancestry cases, 1,986 European ancestry controls	6p21.32	6	32441753	rs3129882-G	rs3129882	3129882.0	intron_variant	0.4	2e-10	9.7
20711177	Hamza TH	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711177	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.	Parkinson's disease	2,000 European ancestry cases, 1,986 European ancestry controls	4p16.3	4	864544	rs11248051-T	rs11248051	11248051.0	intron_variant	0.09	3e-09	8.52
20711177	Hamza TH	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711177	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.	Parkinson's disease	2,000 European ancestry cases, 1,986 European ancestry controls	4q22.1	4	89720189	rs356220-T	rs356220	356220.0	intron_variant	0.36	3e-11	10.52
20711177	Hamza TH	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711177	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.	Parkinson's disease	2,000 European ancestry cases, 1,986 European ancestry controls	17q21.31	17	46751565	rs199533-C	rs199533	199533.0	synonymous_variant	0.78	1e-06	6.0
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	1p31.3	1	67356694	rs3790567-A	rs3790567	3790567.0	intron_variant	0.232	8e-12	11.1
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	3q25.33	3	160011091	rs6441286-G	rs6441286	6441286.0	intron_variant	0.394	8e-12	11.1
20639880	Liu X	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639880	Genome-wide meta-analyses identify three loci associated with primary biliary cirrhosis.	Primary biliary cholangitis	453 European ancestry cases, 945 European ancestry controls,	6p21.32	6	32689801	rs7774434-C	rs7774434	7774434.0	intergenic_variant	0.371	3e-26	25.52
20639881	Conde L	2010-07-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20639881	Genome-wide association study of follicular lymphoma identifies a risk locus at 6p21.32.	Follicular lymphoma	681 European ancestry cases, 750 European ancestry controls	6p21.33	6	31106253	rs6457327-C	rs6457327	6457327.0	intergenic_variant	0.56	7e-06	5.15
20657596	Johansen CT	2010-07-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20657596	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	463 European ancestry cases, 1,197 European ancestry controls	11q23.3	11	116778201	rs964184-G	rs964184	964184.0	3_prime_UTR_variant	0.14	5e-24	23.3
20657596	Johansen CT	2010-07-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20657596	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	463 European ancestry cases, 1,197 European ancestry controls	2p23.3	2	27508073	rs1260326-T	rs1260326	1260326.0	missense_variant	0.41	7e-09	8.15
20657596	Johansen CT	2010-07-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20657596	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	463 European ancestry cases, 1,197 European ancestry controls	8p21.3	8	20019235	rs7016880-?	rs7016880	7016880.0	intergenic_variant	0.9	2e-07	6.7
20657596	Johansen CT	2010-07-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20657596	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	463 European ancestry cases, 1,197 European ancestry controls	2p24.1	2	21166787	rs4635554-G	rs4635554	4635554.0	intergenic_variant	0.31	2e-07	6.7
20657596	Johansen CT	2010-07-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20657596	Excess of rare variants in genes identified by genome-wide association study of hypertriglyceridemia.	Hypertriglyceridemia	463 European ancestry cases, 1,197 European ancestry controls	7q11.23	7	73450539	rs714052-?	rs714052	714052.0	intron_variant	0.87	3e-06	5.52
20802479	Anttila V	2010-08-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20802479	Genome-wide association study of migraine implicates a common susceptibility variant on 8q22.1.	Migraine	2,731 European ancestry cases, 10,747 European ancestry controls	8q22.1	8	97154685	rs1835740-A	rs1835740	1835740.0	intergenic_variant	0.21	2e-11	10.7
20818381	Yamauchi T	2010-09-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20818381	A genome-wide association study in the Japanese population identifies susceptibility loci for type 2 diabetes at UBE2E2 and C2CD4A-C2CD4B.	Type 2 diabetes	4,470 Japanese ancestry cases, 3,071 Japanese ancestry controls	15q22.2	15	62104190	rs7172432-?	rs7172432	7172432.0	intergenic_variant	0.58	9e-14	13.05
20835236	Hysi PG	2010-09-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20835236	A genome-wide association study for myopia and refractive error identifies a susceptibility locus at 15q25.	Refractive error	4,270 European ancestry individuals	15q25.1	15	79159527	rs939658-G	rs939658	939658.0	intergenic_variant	0.52	2e-09	8.7
20835239	Solouki AM	2010-09-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20835239	A genome-wide association study identifies a susceptibility locus for refractive errors and myopia at 15q14.	Refractive error	5,328 European ancestry individuals	15q14	15	34713872	rs634990-C	rs634990	634990.0	intergenic_variant	0.47	2e-14	13.7
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	6p21.32	6	32638107	rs2187668-A	rs2187668	2187668.0	intron_variant	0.13	2e-33	32.7
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	1q42.2	1	232383404	rs669408-C	rs669408	669408.0	regulatory_region_variant	0.41	1e-06	6.0
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	11p11.2	11	46357892	rs11038871-C	rs11038871	11038871.0	intron_variant	0.248	2e-06	5.7
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	7q21.3	7	96785743	rs12669076-?	rs12669076	12669076.0	regulatory_region_variant	0.66	2e-06	5.7
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	3q25.1	3	151862085	rs6798928-?	rs6798928	6798928.0	intron_variant	0.58	3e-06	5.52
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	8q24.21	8	128234169	rs10492294-?	rs10492294	10492294.0	intergenic_variant	0.81	4e-06	5.4
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	18p11.31	18	5857092	rs11662763-?	rs11662763	11662763.0	intron_variant	0.85	5e-06	5.3
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	10q23.31	10	89012072	rs2234978-A	rs2234978	2234978.0	synonymous_variant	0.31	6e-06	5.22
20694011	Ferreira RC	2010-08-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20694011	Association of IFIH1 and other autoimmunity risk alleles with selective IgA deficiency.	Immunoglobulin A	430 European ancestry cases, 1,090 European ancestry controls	9p21.2	9	27882655	rs7029145-A	rs7029145	7029145.0	intergenic_variant	0.466	9e-06	5.05
20835238	Thorleifsson G	2010-09-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20835238	Common variants near CAV1 and CAV2 are associated with primary open-angle glaucoma.	Glaucoma (primary open-angle)	1,263 European ancestry cases, 34,887 European ancestry controls	7q31.2	7	116522675	rs4236601-A	rs4236601	4236601.0	intergenic_variant	0.23	2e-11	10.7
20852631	Antoniou AC	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852631	A locus on 19p13 modifies risk of breast cancer in BRCA1 mutation carriers and is associated with hormone receptor-negative breast cancer in the general population.	Breast cancer	1,193 European ancestry cases, 1,190 European ancestry controls	19p13.11	19	17278895	rs8170-A	rs8170	8170.0	synonymous_variant	0.17	2e-09	8.7
20852633	Bolton KL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852633	Common variants at 19p13 are associated with susceptibility to ovarian cancer.	Ovarian cancer	1,768 European ancestry cases, 2,353 European ancestry controls	19p13.11	19	17278895	rs8170-T	rs8170	8170.0	synonymous_variant	NR	4e-06	5.4
20852633	Bolton KL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852633	Common variants at 19p13 are associated with susceptibility to ovarian cancer.	Ovarian cancer	1,768 European ancestry cases, 2,353 European ancestry controls	19p13.11	19	17283315	rs2363956-T	rs2363956	2363956.0	missense_variant	NR	1e-07	7.0
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	2q31.1	2	176177905	rs2072590-T	rs2072590	2072590.0	non_coding_transcript_exon_variant	NR	5e-14	13.3
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	3q25.31	3	156679960	rs2665390-C	rs2665390	2665390.0	intron_variant	NR	3e-07	6.52
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	8q24.21	8	128531703	rs10088218-G	rs10088218	10088218.0	intron_variant	NR	3e-09	8.52
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	17q21.32	17	48334138	rs9303542-G	rs9303542	9303542.0	intron_variant	NR	1e-06	6.0
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	1p36.12	1	22164231	rs7521902-?	rs7521902	7521902.0	intergenic_variant	NR	5e-06	5.3
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	11p14.3	11	25186158	rs12794435-?	rs12794435	12794435.0	intergenic_variant	NR	5e-06	5.3
20852632	Goode EL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852632	A genome-wide association study identifies susceptibility loci for ovarian cancer at 2q31 and 8q24.	Ovarian cancer	1,768 European ancestry cases, 2,354 European ancestry controls	17q21.32	17	48279758	rs2084881-?	rs2084881	2084881.0	intron_variant	NR	2e-06	5.7
20935630	Speliotes EK	2010-10-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20935630	Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index.	Body mass index	Up to 123,865 European ancestry individuals	16q12.2	16	53769662	rs1558902-A	rs1558902	1558902.0	intron_variant	0.42	5e-120	119.3
